Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u;b;v;r
47.4666565|21.716611;67;73.9448;102.31;103.021;788;541;398;313;311;301;272;264;241;240;213;205;60;30;29;26;25;23;23;181.904;180;9.63374;9.82019;1;1;1;0;0;0;0;0;0;0;0;190;3654;0;0;0;110;3734;0;0;0;6;3838;0;0;0;0;3844;0;2;0
47.4666565|21.716611;68;75.7071;102.417;104.493;823;737;613;552;491;484;440;430;402;378;313;275;242;195;174;174;174;174;147;182.126;180;13.7765;14.0818;16;10;3;2;1;1;498;0;58;0;0;1426;2360;57;0;0;1498;2289;73;0;0;1434;2337;148;0;0;1511;2185;0;2;0
47.4666565|21.716611;69;41.1452;72.219;83.3353;991;946;884;810;746;681;574;502;428;401;335;305;236;164;156;100;99;73;73;195.576;196;5.21032;5.21991;25;12;7;0;0;0;4;0;0;0;0;3843;1;0;0;0;3821;23;0;0;0;3806;38;0;0;0;3844;0;0;2;0
47.4666565|21.716611;70;43.2149;69.8356;82.1191;1066;1028;989;939;907;873;817;783;714;700;657;593;573;547;500;448;334;198;107;199.599;199;7.25152;7.29937;41;19;6;0;0;0;0;0;0;0;0;3758;86;0;0;0;3808;36;0;0;0;3837;7;0;0;0;3844;0;0;2;0
47.4666565|21.716611;71;47.2521;71.5804;84.3236;1040;1009;882;840;808;780;640;592;562;524;478;369;330;301;254;168;146;125;107;200.875;200;6.37387;6.47184;28;16;5;0;0;0;0;0;0;0;0;3679;165;0;0;0;3821;23;0;0;0;3794;50;0;0;0;3844;0;0;2;0
47.4666565|21.716611;72;48.5403;73.7789;86.2929;956;931;873;817;757;719;658;587;512;492;397;358;279;259;207;78;24;6;6;199.315;200;7.56938;7.57494;26;16;8;1;1;1;0;0;0;0;0;3490;354;0;0;0;3748;96;0;0;0;3791;53;0;0;0;3557;287;0;2;0
47.4666565|21.716611;73;55.5354;79.5375;89.2518;1073;1030;972;946;896;864;800;781;652;598;545;504;353;322;272;256;202;168;149;195.452;198;17.1142;16.9122;28;14;6;2;2;2;270;0;144;0;0;2907;793;273;0;0;3249;322;269;0;0;3245;330;56;0;0;3331;457;0;2;0
47.4666565|21.716611;74;55.4914;79.8481;89.9035;1022;977;897;832;782;722;680;650;625;595;532;452;422;397;361;342;307;279;227;195.471;203;17.5636;18.3182;26;14;5;4;4;3;479;0;48;0;0;3026;770;32;0;0;3113;699;21;0;0;3053;770;30;0;0;3169;645;0;2;0
47.4666565|21.716611;75;62.6418;87.4618;95.6048;992;900;854;843;825;802;759;703;672;667;630;610;515;477;457;404;401;369;316;192.832;200;16.9977;17.9683;33;15;5;5;3;3;477;0;119;0;0;2397;1328;78;0;0;2754;1012;37;0;0;2760;1047;14;0;0;2916;914;0;2;0
47.4666565|21.716611;76;63.8985;89.0333;96.5702;851;748;715;643;574;544;532;519;499;488;414;394;371;345;289;280;263;253;226;192.655;180;16.1054;21.1102;20;9;3;1;1;0;472;0;10;0;0;1845;1989;0;0;0;2156;1688;0;0;0;2172;1672;0;0;0;1999;1845;0;2;0
